,Rating,MRP,Processor,RAM,OS,Storage,OS_arch,RAM_Type,cluster
0,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
1,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
2,4.1,25685.0,Intel Celeron Dual Core Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
3,4.4,51990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
4,4.2,38990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
5,4.1,23990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
6,4.1,39990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
7,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
8,4.3,33490.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
9,4.3,40990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
10,4.3,47990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
11,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
12,4.7,84990.0,Intel Core i5 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,5
13,4.4,51990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,5
14,4.4,55990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
15,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
16,4.3,36990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
17,4.5,83990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR5,0
18,4.3,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
19,4.2,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
20,4.1,40990.0,Intel Core i5 Processor,8 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,1
21,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
22,4.4,42090.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
23,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
24,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
25,4.5,83990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR5,0
26,4.2,40990.0,Intel Core i3 Processor,8 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,1
27,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
28,4.6,89990.0,Intel Core i9 Processor,32 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,0
29,4.5,42490.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
30,4.4,66990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
31,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
32,4.6,112990.0,Intel Core i5 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,Unified Memory,5
33,4.8,129990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,Unified Memory,5
34,4.3,57990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
35,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
36,4.2,119990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
37,4.6,79990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,0
38,4.3,89990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,2
39,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
40,4.2,56990.0,Intel Core i7 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
41,5.0,134999.0,Intel Core i9 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,0
42,4.2,170990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR5,2
43,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
44,4.2,50490.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
45,4.2,219990.0,Intel Core i7 Processor,32 GB,Windows 11,"('1 TB SSD',)",64,DDR5,2
46,4.4,65114.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
47,3.9,62990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
48,4.0,16990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
49,4.0,82990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
50,4.2,40450.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
51,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
52,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
53,4.2,47990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
54,4.3,45490.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
55,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
56,4.4,57990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
57,4.0,42990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,1
58,4.3,43890.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
59,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
60,4.2,129990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR5,2
61,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
62,4.6,84990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,0
63,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
64,4.5,90990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,0
65,4.2,89990.0,Intel Core i7 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,7
66,4.4,59990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
