,Rating,MRP,Processor,RAM,OS,Storage,Brand
0,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
1,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
2,4.1,25685.0,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
3,4.4,51990.0,Intel Core i5 Processor,8 GB DDR4 RAM,,512 GB SSD,ASUS
4,4.2,38990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
5,4.1,23990.0,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,ASUS
6,4.1,39990.0,Intel Core i5 Processor,8 GB DDR4 RAM,,512 GB SSD,RedmiBook
7,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
8,4.3,33490.0,Intel Core i3 Processor,8 GB DDR4 RAM,,256 GB SSD,Lenovo
9,4.3,40990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
10,4.3,47990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
11,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
12,4.7,84990.0,,8 GB DDR4 RAM,,256 GB SSD,APPLE
13,4.4,51990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD256 GB SSD,ASUS
14,4.4,55990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
15,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
16,4.3,36990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
17,4.5,83990.0,Intel Core i5 Processor,16 GB DDR5 RAM,,512 GB SSD,ASUS
18,4.3,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
19,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
20,4.1,40990.0,,8 GB DDR4 RAM,,1 TB HDD256 GB SSD,DELL
21,4.3,53990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
22,4.4,42090.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,ASUS
23,,65990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
24,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,,512 GB SSD,HP
25,4.5,83990.0,Intel Core i5 Processor,16 GB DDR5 RAM,,512 GB SSD,ASUS
26,4.2,40990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD256 GB SSD,HP
27,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
28,4.6,89990.0,Intel Core i9 Processor,32 GB LPDDR5 RAM,,1 TB SSD,Infinix
29,4.5,42490.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
30,4.4,66990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
31,4.2,58400.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
32,4.6,112990.0,,8 GB Unified Memory RAM,,256 GB SSD,APPLE
33,4.8,129990.0,,8 GB Unified Memory RAM,,512 GB SSD,APPLE
34,4.3,57990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,acer
35,4.3,53990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
36,4.2,119990.0,Intel Core i7 Processor,16 GB LPDDR5 RAM,,1 TB SSD,ASUS
37,4.6,79990.0,Intel Core i5 Processor,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
38,4.3,89990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,HP
39,4.2,60990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
40,4.2,56990.0,Intel Core i7 Processor,16 GB DDR4 RAM,,512 GB SSD,ASUS
41,5.0,134999.0,Intel Core i9 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,acer
42,,170990.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,MSI
43,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
44,,50490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,,512 GB SSD,Lenovo
45,,219990.0,Intel Core i7 Processor,32 GB DDR5 RAM,,1 TB SSD,MSI
46,4.4,65114.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
47,3.9,62990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,HP
48,4.0,16990.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,ASUS
49,4.0,82990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,HP
50,4.2,40450.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
51,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
52,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
53,4.2,47990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
54,4.3,45490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
55,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
56,4.4,57990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
57,4.0,42990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
58,4.3,43890.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
59,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
60,,129990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
61,4.3,53990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
62,4.6,84990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,HP
63,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
64,4.5,90990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,,1 TB SSD,ASUS
65,,89990.0,Intel Core i7 Processor,16 GB LPDDR4 RAM,,512 GB SSD,DELL
66,4.4,59990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
67,4.5,37990.0,Intel Core i3 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
68,4.3,59490.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
69,4.7,104990.0,Intel Core i7 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,MSI
70,4.1,25990.0,Intel Pentium Silver Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,ASUS
71,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
72,,299990.0,Intel Core i9 Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,2 TB SSD,MSI
73,,74990.0,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
74,4.2,50990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
75,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
76,4.2,42500.0,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD256 GB SSD,DELL
77,4.4,68928.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
78,2.8,53990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,ASUS
79,4.2,58400.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
80,4.2,47990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
81,4.6,79990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,HP
82,4.1,53490.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
83,4.3,53990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
84,4.0,58990.0,,8 GB DDR4 RAM,,1 TB HDD256 GB SSD,DELL
