,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type,Processor_brand
0,4.2,25490.0,Celeron Dual Core,4,Windows 11,512 GB SSD,HP,64,LPDDR4,Intel
1,3.8,22490.0,Core i5,4,Windows 11,512 GB SSD,HP,64,LPDDR4X,Intel
2,4.1,25685.0,Celeron Dual Core,8,Windows 11,256 GB SSD,Lenovo,64,DDR4,Intel
3,4.4,51990.0,Core i5,8,Windows 11,512 GB SSD,ASUS,64,DDR4,Intel
4,4.2,38990.0,Core i3,8,Windows 11,512 GB SSD,ASUS,64,DDR4,Intel
5,4.1,23990.0,Celeron Dual Core,4,Windows 11,256 GB SSD,ASUS,64,DDR4,Intel
6,4.1,39990.0,Core i5,8,Windows 11,512 GB SSD,RedmiBook,64,DDR4,Intel
7,3.8,19100.0,Core i5,4,Chrome,512 GB SSD,HP,32,DDR4,Intel
8,4.3,33490.0,Core i3,8,Windows 11,256 GB SSD,Lenovo,64,DDR4,Intel
9,4.3,40990.0,Core i3,8,Windows 11,512 GB SSD,HP,64,DDR4,Intel
10,4.3,47990.0,Core i5,8,Windows 11,512 GB SSD,ASUS,64,DDR4,Intel
11,4.3,36158.0,Core i3,8,Windows 11,512 GB SSD,Lenovo,64,DDR4,Intel
12,4.7,84990.0,Core i5,8,Windows 11,256 GB SSD,APPLE,64,DDR4,Intel
13,4.4,51990.0,Ryzen 5 Hexa Core,8,Windows 11,1 TB HDD256 GB SSD,ASUS,64,DDR4,AMD
14,4.4,55990.0,Ryzen 5 Hexa Core,8,Windows 11,512 GB SSD,Lenovo,64,DDR4,AMD
15,4.2,33639.0,Core i3,8,Windows 11,256 GB SSD,Lenovo,64,DDR4,Intel
16,4.3,36990.0,Core i3,8,Windows 11,512 GB SSD,HP,64,DDR4,Intel
17,4.5,83990.0,Core i5,6,Windows 11,512 GB SSD,ASUS,64,DDR5,Intel
18,4.3,50990.0,Ryzen 5 Hexa Core,6,Windows 11,512 GB SSD,HP,64,DDR4,AMD
19,4.2,50990.0,Ryzen 5 Hexa Core,6,Windows 11,512 GB SSD,MSI,64,DDR4,AMD
20,4.1,40990.0,Core i5,8,Windows 11,1 TB HDD256 GB SSD,DELL,64,DDR4,Intel
